AID,TAB,Topic,TopicIndex,Topic,TopicKeyWords
1,"[Risk factors weaning children rural women Poltava region] The purpose of research - set by regression analysis of factors influencing the risk of cessation of breastfeeding. It is necessary to inform and educate pregnant women in order to prepare them for feeding your baby breast milk. It is important that they understand the importance of this action. We conducted the survey longitudinal study in lactating women. Their children reached the age of two. Scientific work examined 487 pairs of mothers with a child in the villages of Poltava region. Using regression estimates determined the predicted risk of stopping breastfeeds children up to 6 months. The study showed that the risk of stop feeding the woman increases in 1,576 times, if the information she received from the mother, and in 1,746 times when receiving information from other family members. When the woman received information from physicians, the risk was reduced by 32.5% each month. Women continued to feed their babies breast milk, it is necessary that the doctors and nurses taught them this. So the doctors themselves should have a good knowledge about the risk factors of breast-feeding and rules of sanitary-educational work.",7,0.0,11.0,payment|medicare|hospital|rule|hospitals|final|program|prospective|changes|act|inpatient|care|period|pps|year|
2,"Medicare program; hospital inpatient prospective payment systems for acute care hospitals and the long-term care hospital prospective payment system and fiscal year 2015 rates; quality reporting requirements for specific providers; reasonable compensation equivalents for physician services in excluded hospitals and certain teaching hospitals; provider administrative appeals and judicial review; enforcement provisions for organ transplant centers; and electronic health record (EHR) incentive program. Final rule We are revising the Medicare hospital inpatient prospective payment systems (IPPS) for operating and capital-related costs of acute care hospitals to implement changes arising from our continuing experience with these systems. Some of these changes implement certain statutory provisions contained in the Patient Protection and Affordable Care Act and the Health Care and Education Reconciliation Act of 2010 (collectively known as the Affordable Care Act), the Protecting Access to Medicare Act of 2014, and other legislation. These changes are applicable to discharges occurring on or after October 1, 2014, unless otherwise specified in this final rule. We also are updating the rate-of-increase limits for certain hospitals excluded from the IPPS that are paid on a reasonable cost basis subject to these limits. The updated rate-of-increase limits are effective for cost reporting periods beginning on or after October 1, 2014. We also are updating the payment policies and the annual payment rates for the Medicare prospective payment system (PPS) for inpatient hospital services provided by long-term care hospitals (LTCHs) and implementing certain statutory changes to the LTCH PPS under the Affordable Care Act and the Pathway for Sustainable Growth Rate (SGR) Reform Act of 2013 and the Protecting Access to Medicare Act of 2014. In addition, we discuss our proposals on the interruption of stay policy for LTCHs and on retiring the ""5 percent"" payment adjustment for collocated LTCHs. While many of the statutory mandates of the Pathway for SGR Reform Act apply to discharges occurring on or after October 1, 2014, others will not begin to apply until 2016 and beyond. In addition, we are making a number of changes relating to direct graduate medical education (GME) and indirect medical education (IME) payments. We are establishing new requirements or revising requirements for quality reporting by specific providers (acute care hospitals, PPS-exempt cancer hospitals, and LTCHs) that are participating in Medicare. We are updating policies relating to the Hospital Value-Based Purchasing (VBP) Program, the Hospital Readmissions Reduction Program, and the Hospital-Acquired Condition (HAC) Reduction Program. In addition, we are making technical corrections to the regulations governing provider administrative appeals and judicial review; updating the reasonable compensation equivalent (RCE) limits, and revising the methodology for determining such limits, for services furnished by physicians to certain teaching hospitals and hospitals excluded from the IPPS; making regulatory revisions to broaden the specified uses of Medicare Advantage (MA) risk adjustment data and to specify the conditions for release of such risk adjustment data to entities outside of CMS; and making changes to the enforcement procedures for organ transplant centers. We are aligning the reporting and submission timelines for clinical quality measures for the Medicare HER Incentive Program for eligible hospitals and critical access hospitals (CAHs) with the reporting and submission timelines for the Hospital IQR Program. In addition, we provide guidance and clarification of certain policies for eligible hospitals and CAHs such as our policy for reporting zero denominators on clinical quality measures and our policy for case threshold exemptions. In this document, we are finalizing two interim final rules with comment period relating to criteria for disproportionate share hospital uncompensated care payments and extensions of temporary changes to the payment adjustment for low-volume hospitals and of the Medicare-Dependent, Small Rural Hospital (MDH) Program.",0,1.0,3.0,highlights|training|croatia|vets|bva|injury|practice|farm|kingdom|survey|surgeons|united|risk|initial|education|
3,"Medicare program; prospective payment system and consolidated billing for skilled nursing facilities for FY 2015. Final rule This final rule updates the payment rates used under the prospective payment system (PPS) for skilled nursing facilities (SNFs) for fiscal year (FY) 2015. In addition, it adopts the most recent Office of Management and Budget (OMB) statistical area delineations to identify a facility's urban or rural status for the purpose of determining which set of rate tables will apply to the facility, and to determine the SNF PPS wage index including a 1-year transition with a blended wage index for all providers for FY 2015. This final rule also contains a revision to policies related to the Change of Therapy (COT) Other Medicare Required Assessment (OMRA). This final rule includes a discussion of a provision related to the Affordable Care Act involving Civil Money Penalties. Finally, this final rule discusses the SNF therapy payment research currently underway within CMS, observed trends related to therapy utilization among SNF providers, and the agency's commitment to accelerating health information exchange in SNFs.",0,2.0,2.0,diabetes|aware|patients|among|disease|beliefs|attitudes|malaysia|leptospirosis|positive|awareness|behaviors|northeastern|communities|knowledge|
4,"Medicare program; additional extension of the payment adjustment for low-volume hospitals and the Medicare-dependent hospital (MDH) program under the hospital Inpatient Prospective Payment Systems (IPPS) for acute care hospitals for fiscal year 2014. Extension of a payment adjustment and a program This document announces changes to the payment adjustment for low-volume hospitals and to the Medicare-dependent hospital (MDH) program under the hospital inpatient prospective payment systems (IPPS) for the second half of FY 2014 (April 1, 2014 through September 30, 2014) in accordance with sections 105 and 106, respectively, of the Protecting Access to Medicare Act of 2014 (PAMA).",0,3.0,5.0,mortality|workforce|bcg|dtp|dominate|overseas|trained|livebirths|child|older|doctors|needs|per|first|india|
5,Study aims to prove worth of MS nurses ,9,4.0,7.0,flood|community|health|pneumonia|vaccination|doctors|group|leaders|care|campaign|chws|system|caregivers|tromso|communities|
6,Engaging rural and remote health leaders of tomorrow ,6,5.0,4.0,intervention|adherence|coverage|program|development|lns|children|vehicle|agricultural|community|based|tablets|dispersible|mapping|impacts|
7,"Medicare Program: Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems and Quality Reporting Programs; Short Inpatient Hospital Stays; Transition for Certain Medicare-Dependent, Small Rural Hospitals Under the Hospital Inpatient Prospective Payment System; Provider Administrative Appeals and Judicial Review. Final rule with comment period; final rule This final rule with comment period revises the Medicare hospital outpatient prospective payment system (OPPS) and the Medicare ambulatory surgical center (ASC) payment system for CY 2016 to implement applicable statutory requirements and changes arising from our continuing experience with these systems. In this final rule with comment period, we describe the changes to the amounts and factors used to determine the payment rates for Medicare services paid under the OPPS and those paid under the ASC payment system. In addition, this final rule with comment period updates and refines the requirements for the Hospital Outpatient Quality Reporting (OQR) Program and the ASC Quality Reporting (ASCQR) Program. Further, this document includes certain finalized policies relating to the hospital inpatient prospective payment system: Changes to the 2-midnight rule under the short inpatient hospital stay policy; and a payment transition for hospitals that lost their status as a Medicare-dependent, small rural hospital (MDH) because they are no longer in a rural area due to the implementation of the new Office of Management and Budget delineations in FY 2015 and have not reclassified from urban to rural before January 1, 2016. In addition, this document contains a final rule that finalizes certain 2015 proposals, and addresses public comments received, relating to the changes in the Medicare regulations governing provider administrative appeals and judicial review relating to appropriate claims in provider cost reports.",0,6.0,6.0,health|inequities|decisions|dwelling|squalor|tomorrow|engaging|research|saving|drones|send|life|leaders|remote|potentially|
8,Nurse practitioner heads rural advocacy network ,8,7.0,5.0,women|weight|bmi|gain|delivery|age|pregnant|risk|tsh|factors|collected|educational|gestational|global|pregnancy|
9,"Older rural population needs a flexible nursing workforce A 'radical shift in resources' is required to meet the needs of older people in remote and rural areas, according to a report published by the RCN with support from Age Scotland.",3,8.0,5.0,service|involvement|mental|advocacy|practitioner|heads|time|healthcare|nurse|users|network|theory|husbands|user|residence|
10,"Medicare Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment System Policy Changes and Fiscal Year 2016 Rates; Revisions of Quality Reporting Requirements for Specific Providers, Including Changes Related to the Electronic Health Record Incentive Program; Extensions of the Medicare-Dependent, Small Rural Hospital Program and the Low-Volume Payment Adjustment for Hospitals. Final rule; interim final rule with comment period We are revising the Medicare hospital inpatient prospective payment systems (IPPS) for operating and capital related costs of acute care hospitals to implement changes arising from our continuing experience with these systems for FY 2016. Some of these changes implement certain statutory provisions contained in the Patient Protection and Affordable Care Act and the Health Care and Education Reconciliation Act of 2010 (collectively known as the Affordable Care Act), the Pathway for Sustainable Growth Reform(SGR) Act of 2013, the Protecting Access to Medicare Act of 2014, the Improving Medicare Post-Acute Care Transformation Act of 2014, the Medicare Access and CHIP Reauthorization Act of 2015, and other legislation. We also are addressing the update of the rate-of-increase limits for certain hospitals excluded from the IPPS that are paid on a reasonable cost basis subject to these limits for FY 2016.As an interim final rule with comment period, we are implementing the statutory extensions of the Medicare dependent,small rural hospital (MDH)Program and changes to the payment adjustment for low-volume hospitals under the IPPS.We also are updating the payment policies and the annual payment rates for the Medicare prospective payment system (PPS) for inpatient hospital services provided by long-term care hospitals (LTCHs) for FY 2016 and implementing certain statutory changes to the LTCH PPS under the Affordable Care Act and the Pathway for Sustainable Growth Rate (SGR) Reform Act of 2013 and the Protecting Access to Medicare Act of 2014.In addition, we are establishing new requirements or revising existing requirements for quality reporting by specific providers (acute care hospitals,PPS-exempt cancer hospitals, and LTCHs) that are participating in Medicare, including related provisions for eligible hospitals and critical access hospitals participating in the Medicare Electronic Health Record (EHR)Incentive Program. We also are updating policies relating to the Hospital Value-Based Purchasing (VBP) Program, the Hospital Readmissions Reduction Program, and the Hospital-Acquired Condition (HAC) Reduction Program.",0,9.0,2.0,nurses|worth|prove|aims|ehr|study|adoption|use|electronic|prescribing|records|although|case|focus|care|
